unv_cd,search_syr,univ_name,memo
0000001,2027,국립강릉원주대학교[본교],
0000002,2027,국립강릉원주대학교[제2캠퍼스],
0000003,2027,강원대학교[본교],
0000004,2027,강원대학교[제2캠퍼스],
0000005,2027,경북대학교[본교],
0000007,2027,경상국립대학교[본교],
0000008,2027,국립공주대학교[본교],
0000009,2027,국립군산대학교[본교],
0000010,2027,국립금오공과대학교[본교],
0000011,2027,국립목포대학교[본교],
0000012,2027,국립목포해양대학교[본교],
0000013,2027,국립부경대학교[본교],
0000014,2027,부산대학교[본교],
0000019,2027,서울대학교[본교],
0000020,2027,국립순천대학교[본교],
0000021,2027,국립경국대학교[본교],
0000023,2027,전남대학교[본교],
0000024,2027,전남대학교[제2캠퍼스],
0000025,2027,전북대학교[본교],
0000027,2027,제주대학교[본교],
0000028,2027,국립창원대학교[본교],
0000029,2027,충남대학교[본교],
0000030,2027,충북대학교[본교],
0000031,2027,한국교원대학교[본교],
0000032,2027,한국체육대학교[본교],
0000033,2027,국립한국해양대학교[본교],
0000034,2027,국립한국교통대학교[본교],
0000036,2027,서울과학기술대학교[본교],
0000037,2027,한경국립대학교[본교],
0000039,2027,국립한밭대학교[본교],
0000040,2027,서울시립대학교[본교],
0000046,2027,가톨릭대학교[본교],
0000048,2027,가톨릭대학교[제2캠퍼스],
0000049,2027,가톨릭대학교[제3캠퍼스],
0000050,2027,감리교신학대학교[본교],
0000051,2027,강남대학교[본교],
0000052,2027,건국대학교[본교],
0000053,2027,건국대학교(글로컬)[분교],
0000054,2027,건양대학교[본교],
0000055,2027,건양대학교[제2캠퍼스],
0000056,2027,경기대학교[본교],
0000058,2027,경기대학교[제2캠퍼스],
0000059,2027,경남대학교[본교],
0000060,2027,경동대학교[본교],
0000061,2027,대구한의대학교[본교],
0000062,2027,경성대학교[본교],
0000063,2027,가천대학교[본교],
0000064,2027,경일대학교[본교],
0000065,2027,신경주대학교[본교],
0000066,2027,경희대학교[본교],
0000068,2027,계명대학교[본교],
0000069,2027,고려대학교[본교],
0000070,2027,고려대학교(세종)[분교],
0000071,2027,고신대학교[본교],
0000072,2027,가톨릭관동대학교[본교],
0000073,2027,광신대학교[본교],
0000074,2027,광운대학교[본교],
0000075,2027,광주가톨릭대학교[본교],
0000076,2027,광주여자대학교[본교],
0000078,2027,국민대학교[본교],
0000079,2027,강서대학교[본교],
0000080,2027,극동대학교[본교],
0000081,2027,나사렛대학교[본교],
0000082,2027,단국대학교[본교],
0000084,2027,대구대학교[본교],
0000087,2027,대구예술대학교[본교],
0000088,2027,대구가톨릭대학교[본교],
0000092,2027,세한대학교[본교],
0000093,2027,대신대학교[본교],
0000094,2027,대전가톨릭대학교[본교],
0000095,2027,대전대학교[본교],
0000097,2027,대진대학교[본교],
0000098,2027,서울기독대학교[본교],
0000099,2027,덕성여자대학교[본교],
0000100,2027,동국대학교[본교],
0000101,2027,동국대학교(WISE)[분교],
0000102,2027,동덕여자대학교[본교],
0000103,2027,동서대학교[본교],
0000104,2027,동신대학교[본교],
0000105,2027,동아대학교[본교],
0000106,2027,동양대학교[본교],
0000107,2027,동의대학교[본교],
0000108,2027,루터대학교[본교],
0000109,2027,명지대학교[본교],
0000111,2027,명지대학교[제2캠퍼스],
0000112,2027,목원대학교[본교],
0000113,2027,배재대학교[본교],
0000114,2027,부산가톨릭대학교[본교],
0000115,2027,부산외국어대학교[본교],
0000116,2027,삼육대학교[본교],
0000117,2027,상명대학교[본교],
0000119,2027,상지대학교[본교],
0000120,2027,서강대학교[본교],
0000121,2027,서경대학교[본교],
0000125,2027,서울신학대학교[본교],
0000126,2027,서울여자대학교[본교],
0000127,2027,서울장신대학교[본교],
0000128,2027,서원대학교[본교],
0000129,2027,선문대학교[본교],
0000131,2027,성결대학교[본교],
0000132,2027,성공회대학교[본교],
0000133,2027,성균관대학교[본교],
0000136,2027,성신여자대학교[본교],
0000137,2027,세명대학교[본교],
0000138,2027,세종대학교[본교],
0000139,2027,수원가톨릭대학교[본교],
0000140,2027,수원대학교[본교],
0000141,2027,숙명여자대학교[본교],
0000142,2027,순천향대학교[본교],
0000143,2027,숭실대학교[본교],
0000144,2027,신라대학교[본교],
0000145,2027,아신대학교[본교],
0000146,2027,아주대학교[본교],
0000147,2027,안양대학교[본교],
0000148,2027,안양대학교[제2캠퍼스],
0000149,2027,연세대학교[본교],
0000150,2027,연세대학교(미래)[분교],
0000151,2027,영남대학교[본교],
0000153,2027,영남신학대학교[본교],
0000154,2027,유원대학교[본교],
0000155,2027,영산선학대학교[본교],
0000156,2027,용인대학교[본교],
0000157,2027,우석대학교[본교],
0000158,2027,울산대학교[본교],
0000159,2027,원광대학교[본교],
0000160,2027,위덕대학교[본교],
0000161,2027,을지대학교[본교],
0000162,2027,을지대학교[제2캠퍼스],
0000163,2027,이화여자대학교[본교],
0000164,2027,인제대학교[본교],
0000167,2027,인천가톨릭대학교[제2캠퍼스],
0000168,2027,인천가톨릭대학교[본교],
0000169,2027,인하대학교[본교],
0000170,2027,장로회신학대학교[본교],
0000171,2027,전주대학교[본교],
0000172,2027,조선대학교[본교],
0000173,2027,중부대학교[본교],
0000174,2027,중앙대학교[제2캠퍼스],
0000175,2027,중앙대학교[본교],
0000177,2027,중앙승가대학교[본교],
0000178,2027,백석대학교[본교],
0000179,2027,청주대학교[본교],
0000180,2027,총신대학교[본교],
0000181,2027,추계예술대학교[본교],
0000182,2027,한국침례신학대학교[본교],
0000184,2027,칼빈대학교[본교],
0000186,2027,평택대학교[본교],
0000187,2027,차의과학대학교[본교],
0000188,2027,포항공과대학교[본교],
0000189,2027,한국기술교육대학교[본교],
0000191,2027,한국성서대학교[본교],
0000192,2027,한국외국어대학교[본교],
0000194,2027,한국항공대학교[본교],
0000195,2027,한남대학교[본교],
0000196,2027,한동대학교[본교],
0000197,2027,한라대학교[본교],
0000198,2027,한림대학교[본교],
0000199,2027,한서대학교[본교],
0000200,2027,한성대학교[본교],
0000201,2027,한세대학교[본교],
0000202,2027,한신대학교[본교],
0000203,2027,한양대학교[본교],
0000204,2027,한양대학교(ERICA)[분교],
0000205,2027,서울한영대학교[본교],
0000206,2027,한일장신대학교[본교],
0000207,2027,협성대학교[본교],
0000208,2027,호남대학교[본교],
0000209,2027,호남신학대학교[본교],
0000211,2027,호서대학교[본교],
0000212,2027,홍익대학교[본교],
0000215,2027,가톨릭꽃동네대학교[본교],
0000216,2027,남부대학교[본교],
0000218,2027,예원예술대학교[본교],
0000219,2027,예원예술대학교[제2캠퍼스],
0000221,2027,목포가톨릭대학교[본교],
0000222,2027,부산장신대학교[본교],
0000224,2027,금강대학교[본교],
0000228,2027,예수대학교[본교],
0000231,2027,광주대학교[본교],
0000233,2027,화성의과학대학교[본교],
0000235,2027,동명대학교[본교],
0000238,2027,대전신학대학교[본교],
0000239,2027,중원대학교[본교],
0000240,2027,우송대학교[본교],
0000241,2027,김천대학교[본교],
0000243,2027,송원대학교[본교],
0000244,2027,경운대학교[본교],
0000245,2027,남서울대학교[본교],
0000246,2027,초당대학교[본교],
0000247,2027,한국공학대학교[본교],
0000248,2027,제주국제대학교[본교],
0000249,2027,창신대학교[본교],
0000251,2027,공주교육대학교[본교],
0000252,2027,광주교육대학교[본교],
0000253,2027,대구교육대학교[본교],
0000254,2027,부산교육대학교[본교],
0000255,2027,서울교육대학교[본교],
0000256,2027,경인교육대학교[본교],
0000258,2027,전주교육대학교[본교],
0000260,2027,진주교육대학교[본교],
0000261,2027,청주교육대학교[본교],
0000262,2027,춘천교육대학교[본교],
0000282,2027,호원대학교[본교],
0000284,2027,청운대학교[본교],
0002574,2027,경동대학교[제3캠퍼스],
0002660,2027,인천대학교[본교],
0002712,2027,신한대학교[본교],
0002726,2027,단국대학교[제2캠퍼스],
