unvCd,대학,전형,모집단위,항목,골든값,크롤러값,비고
0000072,가톨릭관동대학교,가톨릭지도자추천,국어교육과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,영어교육과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,간호학과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,컴퓨터교육과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,지리교육과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,치위생학과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,역사교육과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,체육교육과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,의학과(의예과),반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,수학교육과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,임상병리학과,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,사회복지학전공,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000072,가톨릭관동대학교,가톨릭지도자추천,자율전공학부,반영교과,전교과,"전,과목,정성평가",문자열 불일치
0000003,강원대학교,지역인재,의예과,경쟁률,13.05,8.96,차이: -4.09
0000003,강원대학교,지역인재,의예과,충원합격순위,19.0,9,차이: -10.00
0000052,건국대학교,KU자기추천,국제무역학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,산업공학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,국어국문학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,사학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,화학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,응용통계학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,KU자유전공학부,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,전기전자공학부,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,사회환경공학부,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,일어교육과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,건축학부,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,식량자원과학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,중어중문학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,영어영문학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,재료공학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,교육공학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,경제학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,생물공학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,부동산학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,컴퓨터공학부,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,기술경영학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,융합생명공학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,수학교육과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,철학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,경영학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,지리학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,영어교육과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,물리학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,수의예과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,수학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,화공학부,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,행정학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,첨단바이오공학부,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,생명과학특성학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
0000052,건국대학교,KU자기추천,미디어커뮤니케이션학과,반영교과,전교과,"전과목,(,본,전형에서는,전과목을,평가하며,교과성적,학생부등급,산출은,국어,영어,수학,사회,과학,과목의,단순,산술,평균으로,산출된,값임,)",문자열 불일치
