크롤러_전형명,골든_전형명,빈도(대학·학과)
Ⅱ.학생부종합,일반,52
일반,교과일반,40
(추천형),추천형,29
(학생부교과)일반,일반,20
농어촌학생,농어촌학생)(정원외,20
특성화고교,특성화교고,17
학교장추천,학교장추천(학생부교과),17
기회균형,기회균형특별,17
지역인재,(학생부종합)지역인재,12
농어촌학생,농어촌,10
일반,일반(종합),9
지역인재,지역교과,8
학생부종합,서류형,8
농어촌학생,특성화고교과,7
계열적합인재,(학생부종합)계열적합인재,6
기초생활수급자차상위계층한부모가족,기초생활수급자/차상위계층/한부모가족,6
정원내일반,일반_정원내,6
(교과)-일반학생,(일반학생)정원내,5
덕성인재Ⅱ,덕성인재Ⅱ(서류및면접형),5
DoDream/DoDream(소프트웨어),DoDream(소프트웨어),5
(일반),일반,4
기초생활수급자및차상위계층특별,교과,4
기회균형,특성화고교과,4
창의인재,조기취업형계약학과,4
지역인재,자율전공,3
사회공헌자,사회공헌,3
실기,실기실적(실기),3
실기우수자,교과실기우수자,2
지역인재,(KIT인재),2
기초생활수급권자및차상위계층자,기초생활수급권자,2
지역인재1유형(호남권),지역인재1(호남권),2
농어촌학생(종합),농어촌학생,2
sw우수인재,SW우수인재,2
"일반(안성,평택)",(학생부교과)일반,2
장애인등대상자,(장애인등대상자)_정원외,2
Ⅲ.학생부교과,군사학,2
실기,면접,2
특성화고교졸업자특별,교과,2
교과우수자)/학생부교과(교과우수자_체육,논술(논술우수자),2
특성화고교졸재직자,특성화고교졸재직자_정원외,2
국방시스템공학특별,국방시스템공학_정원외,2
지역인재-기초생활수급자및차상위계층,지역인재기초생활수급자및차상위계층,2
"서류형,면접형,첨단융합인재",서류형,2
학생부종합,면접형,2
Ⅱ.학생부종합,지역인재,1
지역인재,교과Ⅱ,1
지역인재Ⅰ,지역인재1,1
교과일반,교과(일반),1
특성화고등을졸업한재직자,특성화고졸재직자,1
평생학습자,고른기회,1
Ⅲ.학생부교과,일반학생(실기),1
-지역균형선발,지역균형선발,1
-SW인재,SW인재,1
농어촌학생특별,예술인재,1
일반기독교,일반,1
지역균형,지역균형_정원내,1
고른기회1,논술(논술위주),1
잠재능력우수자(지역),잠재능력우수자,1
교과중심,_일반학생(교과중심),1
면접중심,_일반학생(면접중심),1
특수교육대상자,실기(실적)위주_일반,1
일반교과,(학생부교과)일반교과,1
교과/성인학습자/특기자,학생부교과,1
일반,체육특기자,1
지역인재특별_지역인재기초생활수급자,농어촌학생,1
지역인재,지역인재1,1
"기회균형(기초생활수급자,차상위계층,한부모가족지원대상자)",기회균형,1
특성화고교졸업자특별,특성화고교특별,1
창의인재,특성화고교과,1
정원내만학도,만학도,1
농어촌학생면접,농어촌학생,1
